year,month,reg_id,dis_id,case_num,dea_num,inci_rate,mort_rate
2005,0,0,127,40,1,0.0031,0.0001
2005,0,0,139,45672,5,3.5136,0.0004
2005,0,0,198,6406,1,0.4928,0.0001
2005,0,11000000,139,120,0,0.7811,0
2005,0,11000000,198,235,0,1.5296,0
2005,0,12000000,139,377,1,3.6197,0.0096
2005,0,12000000,198,2,0,0.0192,0
2005,0,13000000,127,1,0,0.0015,0
2005,0,13000000,139,3916,0,5.7508,0
2005,0,13000000,198,108,0,0.1586,0
2005,0,14000000,139,79,0,0.2369,0
2005,0,14000000,198,11,0,0.033,0
2005,0,15000000,139,54,0,0.2274,0
2005,0,15000000,198,20,0,0.0842,0
2005,0,21000000,127,2,0,0.0047,0
2005,0,21000000,139,66,0,0.1565,0
2005,0,21000000,198,5,0,0.0119,0
2005,0,22000000,139,30,0,0.1107,0
2005,0,22000000,198,5,0,0.0185,0
2005,0,23000000,139,65,0,0.1706,0
2005,0,23000000,198,66,0,0.1732,0
2005,0,31000000,127,1,0,0.0056,0
2005,0,31000000,139,8,0,0.045,0
2005,0,31000000,198,3069,0,17.2775,0
2005,0,32000000,127,4,0,0.0054,0
2005,0,32000000,139,1028,0,1.3783,0
2005,0,32000000,198,39,0,0.0523,0
2005,0,33000000,127,9,0,0.0185,0
2005,0,33000000,139,1998,0,4.0997,0
2005,0,33000000,198,100,0,0.2052,0
2005,0,34000000,139,1097,0,1.8036,0
2005,0,34000000,198,7,0,0.0115,0
2005,0,35000000,127,11,0,0.0313,0
2005,0,35000000,139,477,0,1.3574,0
2005,0,35000000,198,71,0,0.202,0
2005,0,36000000,139,1266,0,2.9597,0
2005,0,36000000,198,1,0,0.0023,0
2005,0,37000000,139,96,0,0.1044,0
2005,0,37000000,198,2475,1,2.6919,0.0011
2005,0,41000000,127,2,1,0.0021,0.0011
2005,0,41000000,139,1885,1,2.0201,0.0011
2005,0,41000000,198,21,0,0.0225,0
2005,0,42000000,139,1205,1,2.1168,0.0018
2005,0,42000000,198,9,0,0.0158,0
2005,0,43000000,139,664,0,1.055,0
2005,0,44000000,127,6,0,0.0066,0
2005,0,44000000,139,5913,2,6.4765,0.0022
2005,0,44000000,198,48,0,0.0526,0
2005,0,45000000,139,3234,0,6.9965,0
2005,0,45000000,198,2,0,0.0043,0
2005,0,46000000,139,351,0,4.277,0
2005,0,46000000,198,1,0,0.0122,0
2005,0,50000000,139,2343,0,8.3989,0
2005,0,51000000,139,5157,0,6.2981,0
2005,0,51000000,198,19,0,0.0232,0
2005,0,52000000,139,6838,0,18.4677,0
2005,0,52000000,198,1,0,0.0027,0
2005,0,53000000,127,1,0,0.0023,0
2005,0,53000000,139,3753,0,8.5011,0
2005,0,53000000,198,3,0,0.0068,0
2005,0,54000000,139,759,0,27.6898,0
2005,0,61000000,127,3,0,0.0081,0
2005,0,61000000,139,342,0,0.923,0
2005,0,61000000,198,3,0,0.0081,0
2005,0,62000000,139,1110,0,4.3049,0
2005,0,62000000,198,15,0,0.0582,0
2005,0,63000000,139,190,0,3.5323,0
2005,0,64000000,139,265,0,4.4951,0
2005,0,64000000,198,16,0,0.2714,0
2005,0,65000000,139,986,0,4.9613,0
2005,0,65000000,198,54,0,0.2717,0
2005,1,0,127,1,0,0.0001,0
2005,1,0,139,2146,0,0.1651,0
2005,1,0,198,350,0,0.0269,0
2005,1,11000000,139,2,0,0.013,0
2005,1,12000000,139,98,0,0.9409,0
2005,1,13000000,139,385,0,0.5654,0
2005,1,14000000,139,5,0,0.015,0
2005,1,21000000,127,1,0,0.0024,0
2005,1,21000000,139,7,0,0.0166,0
2005,1,23000000,139,11,0,0.0289,0
2005,1,31000000,139,1,0,0.0056,0
2005,1,31000000,198,334,0,1.8803,0
2005,1,32000000,139,441,0,0.5913,0
2005,1,33000000,139,40,0,0.0821,0
2005,1,33000000,198,2,0,0.0041,0
2005,1,34000000,139,55,0,0.0904,0
2005,1,35000000,139,9,0,0.0256,0
2005,1,35000000,198,1,0,0.0028,0
2005,1,36000000,139,51,0,0.1192,0
2005,1,37000000,139,7,0,0.0076,0
2005,1,37000000,198,12,0,0.0131,0
2005,1,41000000,139,181,0,0.194,0
2005,1,42000000,139,15,0,0.0263,0
2005,1,43000000,139,20,0,0.0318,0
2005,1,44000000,139,47,0,0.0515,0
2005,1,44000000,198,1,0,0.0011,0
2005,1,45000000,139,72,0,0.1558,0
2005,1,46000000,139,3,0,0.0366,0
2005,1,50000000,139,51,0,0.1828,0
2005,1,51000000,139,146,0,0.1783,0
2005,1,52000000,139,77,0,0.208,0
2005,1,53000000,139,13,0,0.0294,0
2005,1,54000000,139,15,0,0.5472,0
2005,1,61000000,139,58,0,0.1565,0
2005,1,62000000,139,231,0,0.8959,0
2005,1,63000000,139,79,0,1.4687,0
2005,1,64000000,139,16,0,0.2714,0
2005,1,65000000,139,10,0,0.0503,0
2005,2,0,127,3,0,0.0002,0
2005,2,0,139,1179,0,0.0907,0
2005,2,0,198,57,0,0.0044,0
2005,2,12000000,139,10,0,0.096,0
2005,2,13000000,127,1,0,0.0015,0
2005,2,13000000,139,256,0,0.3759,0
2005,2,14000000,139,3,0,0.009,0
2005,2,15000000,139,2,0,0.0084,0
2005,2,21000000,127,1,0,0.0024,0
2005,2,23000000,139,1,0,0.0026,0
2005,2,31000000,198,55,0,0.3096,0
2005,2,32000000,139,1,0,0.0013,0
2005,2,33000000,139,55,0,0.1129,0
2005,2,33000000,198,1,0,0.0021,0
2005,2,34000000,139,34,0,0.0559,0
2005,2,35000000,127,1,0,0.0028,0
2005,2,35000000,139,4,0,0.0114,0
2005,2,36000000,139,68,0,0.159,0
2005,2,37000000,139,3,0,0.0033,0
2005,2,37000000,198,1,0,0.0011,0
2005,2,41000000,139,90,0,0.0965,0
2005,2,42000000,139,44,0,0.0773,0
2005,2,43000000,139,7,0,0.0111,0
2005,2,44000000,139,103,0,0.1128,0
2005,2,45000000,139,56,0,0.1212,0
2005,2,50000000,139,21,0,0.0753,0
2005,2,51000000,139,94,0,0.1148,0
2005,2,52000000,139,49,0,0.1323,0
2005,2,53000000,139,114,0,0.2582,0
2005,2,54000000,139,10,0,0.3648,0
2005,2,61000000,139,31,0,0.0837,0
2005,2,62000000,139,67,0,0.2598,0
2005,2,63000000,139,14,0,0.2603,0
2005,2,64000000,139,9,0,0.1527,0
2005,2,65000000,139,33,0,0.166,0
